,Jurisdiction,geocode,lat,lng
0,ALABAMA  MIDDLE,"{'lat': 34.2728916, 'lng': -86.20962829999999}",34.2728916,-86.20962829999999
1,ALABAMA NORTHERN,"{'lat': 33.4107169, 'lng': -86.80772639999999}",33.4107169,-86.80772639999999
2,ALABAMA  SOUTHERN,"{'lat': 31.487996, 'lng': -87.325121}",31.487996,-87.325121
3,ARIZONA,"{'lat': 34.0489281, 'lng': -111.0937311}",34.0489281,-111.0937311
4,ARKANSAS EASTERN,"{'lat': 34.7959566, 'lng': -90.9895052}",34.7959566,-90.9895052
5,ARKANSAS  WESTERN,"{'lat': 36.3640402, 'lng': -93.56739069999999}",36.3640402,-93.56739069999999
6,CALIFORNIA CENTRAL,"{'lat': 38.39277999999999, 'lng': -121.57194}",38.39277999999999,-121.57194
7,CALIFORNIA EASTERN,"{'lat': 38.9134573, 'lng': -120.0046709}",38.9134573,-120.0046709
8,CALIFORNIA NORTHERN,"{'lat': 38.8375215, 'lng': -120.8958242}",38.8375215,-120.8958242
9,CALIFORNIA SOUTHERN,"{'lat': 33.6920515, 'lng': -117.9184312}",33.6920515,-117.9184312
10,COLORADO,"{'lat': 39.5500507, 'lng': -105.7820674}",39.5500507,-105.7820674
11,CONNECTICUT,"{'lat': 41.6032207, 'lng': -73.087749}",41.6032207,-73.087749
12,DELAWARE,"{'lat': 38.9108325, 'lng': -75.52766989999999}",38.9108325,-75.52766989999999
13,DISTRICT OF COLUMBIA,"{'lat': 38.9071923, 'lng': -77.0368707}",38.9071923,-77.0368707
14,FLORIDA MIDDLE,"{'lat': 28.5425896, 'lng': -81.38420099999999}",28.5425896,-81.38420099999999
15,FLORIDA  NORTHERN,"{'lat': 30.414683, 'lng': -87.215237}",30.414683,-87.215237
16,FLORIDA SOUTHERN,"{'lat': 28.0314378, 'lng': -81.94503979999999}",28.0314378,-81.94503979999999
17,GEORGIA MIDDLE,"{'lat': 32.8105025, 'lng': -83.7328869}",32.8105025,-83.7328869
18,GEORGIA  NORTHERN,"{'lat': 33.9544182, 'lng': -84.5235706}",33.9544182,-84.5235706
19,GEORGIA SOUTHERN,"{'lat': 32.42054890000001, 'lng': -81.78653469999999}",32.42054890000001,-81.78653469999999
20,HAWAII,"{'lat': 19.8967662, 'lng': -155.5827818}",19.8967662,-155.5827818
21,IDAHO,"{'lat': 44.0682019, 'lng': -114.7420408}",44.0682019,-114.7420408
22,ILLINOIS CENTRAL,"{'lat': 40.6331249, 'lng': -89.3985283}",40.6331249,-89.3985283
23,ILLINOIS NORTHERN,"{'lat': 42.2696142, 'lng': -89.0984374}",42.2696142,-89.0984374
24,ILLINOIS SOUTHERN,"{'lat': 37.7100209, 'lng': -89.2225941}",37.7100209,-89.2225941
25,INDIANA NORTHERN,"{'lat': 41.294564, 'lng': -86.12110009999999}",41.294564,-86.12110009999999
26,INDIANA SOUTHERN,"{'lat': 38.47941, 'lng': -87.2854334}",38.47941,-87.2854334
27,IOWA NORTHERN,"{'lat': 41.976634, 'lng': -91.666917}",41.976634,-91.666917
28,IOWA SOUTHERN,"{'lat': 41.5875486, 'lng': -93.6152116}",41.5875486,-93.6152116
29,KANSAS,"{'lat': 39.011902, 'lng': -98.4842465}",39.011902,-98.4842465
30,KENTUCKY WESTERN,"{'lat': 36.9853543, 'lng': -86.456138}",36.9853543,-86.456138
31,LOUISIANA EASTERN,"{'lat': 29.948559, 'lng': -90.0689833}",29.948559,-90.0689833
32,LOUISIANA MIDDLE,"{'lat': 39.4325541, 'lng': -91.073599}",39.4325541,-91.073599
33,LOUISIANA WESTERN,"{'lat': 32.4616114, 'lng': -93.72171420000001}",32.4616114,-93.72171420000001
34,MAINE,"{'lat': 45.253783, 'lng': -69.4454689}",45.253783,-69.4454689
35,MARYLAND,"{'lat': 39.0457549, 'lng': -76.64127119999999}",39.0457549,-76.64127119999999
36,MASSACHUSETTS,"{'lat': 42.4072107, 'lng': -71.3824374}",42.4072107,-71.3824374
37,MICHIGAN EASTERN,"{'lat': 42.2506803, 'lng': -83.624089}",42.2506803,-83.624089
38,MICHIGAN WESTERN,"{'lat': 42.2837336, 'lng': -85.6102507}",42.2837336,-85.6102507
39,MINNESOTA,"{'lat': 46.729553, 'lng': -94.6858998}",46.729553,-94.6858998
40,MISSISSIPPI NORTHERN,"{'lat': 32.3780664, 'lng': -90.1499271}",32.3780664,-90.1499271
41,MISSISSIPPI SOUTHERN,"{'lat': 31.3300115, 'lng': -89.3340423}",31.3300115,-89.3340423
42,MISSOURI EASTERN,"{'lat': 38.4904714, 'lng': -90.701222}",38.4904714,-90.701222
43,MISSOURI WESTERN,"{'lat': 39.7598942, 'lng': -94.7845282}",39.7598942,-94.7845282
44,NEBRASKA,"{'lat': 41.4925374, 'lng': -99.9018131}",41.4925374,-99.9018131
45,NEVADA,"{'lat': 38.8026097, 'lng': -116.419389}",38.8026097,-116.419389
46,NEW HAMPSHIRE,"{'lat': 43.1938516, 'lng': -71.5723953}",43.1938516,-71.5723953
47,NEW JERSEY,"{'lat': 40.0583238, 'lng': -74.4056612}",40.0583238,-74.4056612
48,NEW MEXICO,"{'lat': 34.5199402, 'lng': -105.8700901}",34.5199402,-105.8700901
49,NEW YORK EASTERN,"{'lat': 40.6970564, 'lng': -73.98949089999999}",40.6970564,-73.98949089999999
50,NEW YORK  NORTHERN,"{'lat': 40.7533827, 'lng': -73.9206793}",40.7533827,-73.9206793
51,NEW YORK SOUTHERN,"{'lat': 40.713582, 'lng': -74.0010008}",40.713582,-74.0010008
52,NEW YORK  WESTERN,"{'lat': 43.3447295, 'lng': -75.3878525}",43.3447295,-75.3878525
53,NORTH CAROLINA EASTERN,"{'lat': 35.5885505, 'lng': -77.3677008}",35.5885505,-77.3677008
54,NORTH CAROLINA  MIDDLE,"{'lat': 34.7295904, 'lng': -76.9140549}",34.7295904,-76.9140549
55,NORTH CAROLINA WESTERN,"{'lat': 35.8257305, 'lng': -82.0407137}",35.8257305,-82.0407137
56,OHIO NORTHERN,"{'lat': 40.766263, 'lng': -83.83250559999999}",40.766263,-83.83250559999999
57,OHIO SOUTHERN,"{'lat': 38.5249001, 'lng': -82.66615929999999}",38.5249001,-82.66615929999999
58,OKLAHOMA EASTERN,"{'lat': 34.9134996, 'lng': -95.3277088}",34.9134996,-95.3277088
59,OKLAHOMA NORTHERN,"{'lat': 36.678352, 'lng': -97.296821}",36.678352,-97.296821
60,OKLAHOMA WESTERN,"{'lat': 34.6689634, 'lng': -99.33598699999999}",34.6689634,-99.33598699999999
61,OREGON,"{'lat': 43.8041334, 'lng': -120.5542012}",43.8041334,-120.5542012
62,PENNSYLVANIA EASTERN,"{'lat': 39.9222777, 'lng': -75.1553899}",39.9222777,-75.1553899
63,PENNSYLVANIA MIDDLE,"{'lat': 40.261594, 'lng': -76.8826766}",40.261594,-76.8826766
64,PENNSYLVANIA WESTERN,"{'lat': 40.4498367, 'lng': -79.9530876}",40.4498367,-79.9530876
65,PUERTO RICO,"{'lat': 18.220833, 'lng': -66.590149}",18.220833,-66.590149
66,RHODE ISLAND,"{'lat': 41.5800945, 'lng': -71.4774291}",41.5800945,-71.4774291
67,SOUTH CAROLINA,"{'lat': 33.836081, 'lng': -81.1637245}",33.836081,-81.1637245
68,TENNESSEE EASTERN,"{'lat': 35.9618264, 'lng': -83.91711959999999}",35.9618264,-83.91711959999999
69,TENNESSEE  MIDDLE,"{'lat': 35.8486105, 'lng': -86.3648813}",35.8486105,-86.3648813
70,TENNESSEE WESTERN,"{'lat': 35.6144838, 'lng': -88.81386409999999}",35.6144838,-88.81386409999999
71,TEXAS EASTERN,"{'lat': 37.9831963, 'lng': -88.31523709999999}",37.9831963,-88.31523709999999
72,TEXAS NORTHERN,"{'lat': 31.8984817, 'lng': -102.3154177}",31.8984817,-102.3154177
73,TEXAS SOUTHERN,"{'lat': 29.7217625, 'lng': -95.3606121}",29.7217625,-95.3606121
74,TEXAS WESTERN,"{'lat': 38.5938133, 'lng': -121.4011813}",38.5938133,-121.4011813
75,UTAH,"{'lat': 39.3209801, 'lng': -111.0937311}",39.3209801,-111.0937311
76,VERMONT,"{'lat': 44.5588028, 'lng': -72.57784149999999}",44.5588028,-72.57784149999999
77,VIRGINIA EASTERN,"{'lat': 36.860402, 'lng': -76.3036051}",36.860402,-76.3036051
78,VIRGIN ISLANDS,"{'lat': 18.335765, 'lng': -64.896335}",18.335765,-64.896335
79,WASHINGTON  WESTERN,"{'lat': 34.040085, 'lng': -118.309143}",34.040085,-118.309143
80,WEST VIRGINIA NORTHERN,"{'lat': 40.0633199, 'lng': -80.7213772}",40.0633199,-80.7213772
81,WEST VIRGINIA SOUTHERN,"{'lat': 37.6754288, 'lng': -82.2931906}",37.6754288,-82.2931906
82,WISCONSIN  EASTERN,"{'lat': 44.5122831, 'lng': -88.0135505}",44.5122831,-88.0135505
83,WYOMING,"{'lat': 43.0759678, 'lng': -107.2902839}",43.0759678,-107.2902839
