,critic,gender
0,A. O. Scott,male
1,Manohla Dargis,female
2,Stephen Holden,male
3,Renata Adler,female
4,Mordaunt Hall,male
5,Thomas M. Pryor,male
6,Eugene Archer,male
7,Donal J. Henahan,male
8,Nora Sayre,female
9,D. J. R. Bruckner,male
10,Caryn James,female
11,Harold C. Schonberg,male
12,Tom Buckley,male
13,Stanley Kauffman,male
14,Andre Sennwald,male
15,Vincent Canby,male
16,Dave Kehr,male
17,Dana Stevens,female
18,B. R. Crisler,male
19,Hilton Kramer,male
20,Michael Stern,male
21,Bosley Crowther,male
22,Ned Martel,male
23,Theodore Strauss,male
24,Richard Eder,male
25,Janet Maslin,female
26,Howard Thompson,male
27,Anita Gates,female
28,John T. McManus,male
29,Lawrence Van Gelder,male
30,Walter Goodman,male
31,Elvis Mitchell,male
32,A. H. Weiler,male
33,Roger Greenspun,male
34,Frank S. Nugent,male
35,Matt Zoller Seitz,male
36,Neil Genzlinger,male
37,Andy Webster,male
38,Jeannette Catsoulis,female
39,Nathan Lee,male
40,Kevin Cahillane,male
41,Laura Kern,female
42,Anna Kisselgoff,female
43,C. Hooper Trask,male
44,Ernest Marshall,male
45,Herbert L. Matthews,male
46,Herbert Mitgang,male
47,Jennifer Dunning,female
48,John Corry,male
49,Jon Pareles,male
50,Nina Darnton,female
51,Patricia S. McCormick,female
52,Peter M. Nichols,male
53,Richard Bernstein,male
54,Richard F. Shepard,male
55,Richard W. Nason,male
56,Robert Alden,male
57,Charles Morgan,male
58,Dan Sullivan,male
59,Harry Gilroy,male
60,Julie Salamon,female
61,Morris Gilbert,male
62,W. L. Middleton,male
63,Harry T. Smith,male
64,David DeWitt,male
65,Ben Brantley,male
66,Carina Chocano,female
67,Daniel M. Gold,male
68,Felicity Barringer,female
69,Holcomb B. Noble,male
70,Jack Gould,male
71,Mike Hale,male
72,Paul Brunick,male
73,Peter Kihss,male
74,Rachel Saltz,female
75,Suzanne O'Connor,female
76,Victor Navasky,male
77,Wayne King,male
78,Nicolas Rapold,male
79,Miriam Bale,female
80,Nicole Herrington,female
81,Ben Kenigsberg,male