,critic,counts,gender
0,STEPHEN HOLDEN,1745,male
1,A. O. SCOTT,1987,male
2,JEANNETTE CATSOULIS,1376,female
3,MANOHLA DARGIS,1253,female
4,NEIL GENZLINGER,557,male
5,BEN KENIGSBERG,478,male
6,ELVIS MITCHELL,442,male
7,GLENN KENNY,435,male
8,ANDY WEBSTER,386,male
9,NICOLAS RAPOLD,344,male
10,DAVE KEHR,265,male
12,RACHEL SALTZ,177,female
13,NATHAN LEE,168,male
14,KEN JAWOROWSKI,160,male
15,MIKE HALE,151,male
16,MATT ZOLLER SEITZ,151,male
17,DANIEL M. GOLD,127,male
18,TEO BUGBEE,65,female
19,LAWRENCE VAN GELDER,62,male
20,LAURA KERN,61,female
21,ANITA GATES,59,female
22,DAVID DEWITT,54,male
23,MIRIAM BALE,54,male
24,HELEN T. VERONGOS,47,female
25,NICOLE HERRINGTON,33,female
26,BILGE EBIRI,28,male
28,MONICA CASTILLO,20,female
29,PAUL BRUNICK,17,male
31,WESLEY MORRIS,15,male
33,JASON ZINOMAN,13,male
34,JON CARAMANICA,11,male
35,AISHA HARRIS,10,female
37,JANET MASLIN,5,female
39,ELISABETH VINCENTELLI,4,female
41,SCOTT TOBIAS,4,male
42,JENNIFER SZALAI,4,female
43,JASON BAILEY,4,male
45,KAREN HAN,4,female
46,CARINA CHOCANO,2,female
47,CANDICE FREDERICK,2,female
49,DANA STEVENS,3,female
50,GIA KOURLAS,2,female
51,SEAN T. COLLINS,2,male
52,BRIAN SEIBERT,2,male
55,MARTIN TSAI,1,male
56,CHRIS VOGNAR,1,male
59,JOHN ANDERSON,1,male
61,ELLA TAYLOR,1,female
62,NED MARTEL,1,male
63,JOHN WILLIAMS,1,male
66,PHILLIP LOPATE,1,male
69,GEOFFREY Oâ€™BRIEN,1,male
70,MICHAEL KINSLEY,1,male
71,GENE SEYMOUR,1,male
72,RON WERTHEIMER,1,male
73,JULIE SALAMON,1,female
76,ROBERTA SMITH,1,female
80,KYLE TURNER,1,male